Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,2885,2.914798,7.077510
50,2890,2.914798,7.091948
50,2895,2.914798,7.106410
50,2900,2.914798,7.120898
50,2905,2.914798,7.135410
50,2910,2.914798,7.149948
50,2915,2.914798,7.164510
50,2920,2.914798,7.179098
50,2925,2.914798,7.193710
50,2930,2.914798,7.208348
50,2935,2.914798,7.223010
50,2940,2.914798,7.237698
50,2945,2.914798,7.252410
50,2950,2.914798,7.267148
50,2955,2.914798,7.281910
50,2960,2.914798,7.296698
50,2965,2.914798,7.311510
50,2970,2.914798,7.326348
50,2975,2.914798,7.341210
50,2980,2.914798,7.356098
50,2985,2.914798,7.371010
50,2990,2.914798,7.385948
50,2995,2.914798,7.400910
50,3000,2.914798,7.415898
50,3005,2.914798,7.430910
50,3010,2.914798,7.445948
50,3015,2.914798,7.461010
50,3020,2.914798,7.476098
50,3025,2.914798,7.491210
50,3030,2.914798,7.506348
50,3035,2.914798,7.521510
50,3040,2.914798,7.536698
50,3045,2.914798,7.551910
50,3050,2.914798,7.567148
50,3055,2.914798,7.582410
50,3060,2.914798,7.597698
50,3065,2.914798,7.613010
50,3070,2.914798,7.628348
50,3075,2.914798,7.643710
50,3080,2.914798,7.659098
50,3085,2.914798,7.674510
50,3090,2.914798,7.689948
50,3095,2.914798,7.705410
50,3100,2.914798,7.720898
50,3105,2.914798,7.736410
50,3110,2.914798,7.751948
50,3115,2.914798,7.767510
50,3120,2.914798,7.783098
50,3125,2.914798,7.798710
50,3130,2.914798,7.814348
50,3135,2.914798,7.830010
50,3140,2.914798,7.845698
50,3145,2.914798,7.861410
50,3150,2.914798,7.877148
50,3155,2.914798,7.892910
50,3160,2.914798,7.908698
50,3165,2.914798,7.924510
50,3170,2.914798,7.940348
50,3175,2.914798,7.956210
50,3180,2.914798,7.972098
50,3185,2.914798,7.988010
50,3190,2.914798,8.003948
50,3195,2.914798,8.019910
50,3200,2.914798,8.035898
